,mol,flag
543,CN[C@H](C)C(=O)N[C@@H]1CCO[C@@H]2CC(C)(C)[C@@H](N2C1=O)C(=O)N[C@@H]3CCCC4=CC(=CC=C34)OCCCCCC(=O)N5CCN(CC[C@H](CSC6=CC=CC=C6)NC7=CC=C(C=C7[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C8=CC=C(C=C8)N9CCN(CC9)CC%10=C(CCC(C)(C)C%10)C%11=CC=C(Cl)C=C%11)CC5,1
861,CC(C)[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)C(=O)NC5C(C)(C)C(OC6=CC=C(C#N)C(=C6)Cl)C5(C)C)C7=CC=C(Cl)C=C7)C8=CC(=NO8)C,1
868,CC(C)[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(CC5=C(C)[N](N=C5C)C6=CC=C(C#N)C(=C6)Cl)C=C4)C7=CC=C(C=C7)C8=C(C)N=CS8)C9=CC(=NO9)C,1
727,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCNC(=O)CCCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=CC=C8,0
527,CN(CCOCCOCCOCCNC1=CC=CC2=C1C(=O)N(C3CCC(=O)NC3=O)C2=O)CC[C@@H](CSC4=CC=CC=C4)NC5=CC=C(C=C5[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C6=CC=C(C=C6)N7CCN(CC7)CC8=C(CCC(C)(C)C8)C9=CC=C(Cl)C=C9,1
227,CC1=CC(=C(Br)C(=O)N1C2=CC(=CC=C2C)C(=O)NCCC3=C[N](CCCC(=O)NCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=N3)OCC7=CC=C(F)C=C7F,1
728,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCCNC(=O)CCCC(=O)NC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=CC=C8,0
1101,COC1=CC2=C(C=C1OCCOCCOCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@H](C(C)C)N5CC6=CC=CC=C6C5=O)C7=C(C)N=CS7)N=CC=C2OC8=CC=C(NC(=O)C9(CC9)C(=O)NC%10=CC=C(F)C=C%10)C=C8F,1
677,CCCCN(CC1=CC=C(C=C1)C(=O)NO)C(=O)NC2=CC=C(OCCCCCCCCC[N]3C=C(CCCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=N3)C=C2,1
423,CCC1=CN=C(NC2=CC=C(OCCCOCCCCOCCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)N=C1NCCCN(C)C(=O)C6CCC6,1
66,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
67,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
584,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCCCCCCCCCCC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
211,CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)CC1=CC=CC=C1)C(=O)OCCOCCOCCNC(=O)CO\N=C\2CCC(C)(C)C(=C2C)\C=C\C(C)=C\C=C\C(C)=C\C(O)=O,1
12,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[S](=O)(=O)NC(=O)CCC(=O)NCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=C(F)C=C7,0
904,FC1=C(C=CC=C1Cl)[C@H]2[C@@H](NC3(CCCCC3)[C@@]24C(=O)NC5=CC(=CC=C45)Cl)C(=O)NC6=CC=C(C=C6)C(=O)NCCCCCC7=CC=CC8=C7CN(C9CCC(=O)NC9=O)C8=O,1
924,COC1=CC2=C(C=C1C(N)=O)C(=CN=C2OC[C@@H]3CCC(=O)N3)C#CCCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C,0
299,O=C(CCC(=O)N1CCN(CC1)CC2=CC=C(NC(=O)C3=N[NH]C=C3NC4=C5C=C[NH]C5=NC=N4)C=C2)NCCCOCCOCCOCCNC(=O)COC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O,0
464,CC(C)OC1=CC(=C(C)C=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[S](=O)(=O)C(C)C)C4CCN(CCOCCOCCOCC(=O)N[C@@H](C(=O)N5C[C@H](O)C[C@@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C)CC4,1
1131,O=C1CCC(N2C(=O)C3=C(C2=O)C(=CC=C3)NCCOCCOCCOCCN4CCN(CC4)C5=CC=C(C=C5)C6=CC=C7CN(C(C(=O)NC8=NC=CS8)C9=CC=CC=C9)C(=O)C7=C6)C(=O)N1,1
1108,OCC1CCN(CC1)C2=NC(=NC3=C2C=C(NC4=CC=C(C=N4)N5CCN(CCCCCCCC(=O)NC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)CC5)N=C3)NC9=CC=C(F)C=C9,1
793,FC(F)(Cl)OC1=CC=C(NC(=O)C2=CN=C(N3CC[C@H](C3)NC(=O)CCCC4=C[N](CCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4)C(=C2)C8=N[NH]C=C8)C=C1,1
629,COC1=CC(=CC(=C1CN2CCN(CCCCCOC3=CC(=CC=C3CNC(=O)[C@@H]4C[C@@H](O)CN4C(=O)[C@@H](NC(=O)C5(F)CC5)C(C)(C)C)C6=C(C)N=CS6)CC2)OC)C7=CN(C)C(=O)C8=CN=CC=C78,1
1171,C[N]1C=C(NC2=NC=C(Cl)C(=N2)NCC3=CC(=CC(=C3F)OCCCCCCCCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)F)C=N1,0
858,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CN2CCN(CC2)C3=CC=C(C=N3)C#CC4=CC=C(C=C4)N5C(=S)N(C(=O)C5(C)C)C6=CC=C(C#N)C(=C6)C(F)(F)F)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
850,CC(C)[C@@H](C(=O)N1C[C@@H](O)C[C@@H]1C(=O)N[C@@H](CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)C(=O)NC5C(C)(C)C(OC6=CC=C(C#N)C(=C6)Cl)C5(C)C)C7=CC=C(Br)C=C7)C8=CC(=NO8)C,1
735,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@H](C[C@H]1C(=O)NC2=C(F)C=CC=C2F)NC(=O)COCCOCCOCCN3CCN(CC3)C4=CC=C(NC5=NC=C6C(=C(C(C)=O)C(=O)N(C7CCCC7)C6=N5)C)N=C4)C(C)(C)C,1
1153,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCCOCC[N]4C=C(NC5=NC=C(Cl)C(=N5)NCC6=CC(=CC=C6F)F)C=N4)C(C)(C)C)C=C2,0
738,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(C=N3)N4CCN(CCOCCOCCNC(=O)CNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N=C2N(C8CCCC8)C1=O,1
573,ONC(=O)CCCCCCC(=O)N\N=C\C1=CC=C(OCCOCCOCCOCC[N]2C=C(CNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)N=N2)C=C1,1
273,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCCCCN[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C,1
756,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(C=N3)N4CCN(CC4)CC(=O)NCCCOCCOCCOCCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=C2N(C8CCCC8)C1=O,1
362,COC1=CC(=C(Cl)C=C1Cl)NC2=C3C=C(OC)C(=CC3=NC=C2C#N)OCCCN4CCN(CCCCCCOCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C)CC4,0
237,CC1=CC(=C(Br)C(=O)N1C2=CC(=CC=C2C)C(=O)NCCOCCOCCNC(=O)C3=CC=C4C(=O)N(C5CCC(=O)NC5=O)C(=O)C4=C3)OCC6=CC=C(F)C=C6F,1
549,NC(=O)C1=CC=CC2=C[N](N=C12)C3=CC=C(C=C3)C4=C[N](CCOCCOCCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4,0
2,NC1=NC2=C(N=C[N]2[C@H]3O[C@@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@H](O)[C@@H]3O)C(=O)N1,0
6,NC1=NC2=C(C(=O)N1)[N+](=C[N]2[C@@H]3O[C@H](CO[P](O)(=O)O[P](O)(=O)NCCOCCOCCOCCOCCOCCOCCOCCC(=O)NC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)[C@@H](O)[C@H]3O)CC7=CC=C(F)C=C7,0
992,O\N=C(/NC1=CC=C(F)C(=C1)Br)C2=NON=C2NCCNCCOCCOCCOCCOCCOCC(=O)NC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O,0
311,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCC2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)SCCOCCOCCNC(=O)C[C@@H]4N=C(C5=CC=C(Cl)C=C5)C6=C(SC(=C6C)C)[N]7C(=NN=C47)C,1
1061,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)O[P](O)(O)=O)C(=O)N12)C(=O)CCCCCC#CC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)C(=O)NC(C8=CC=CC=C8)C9=CC=CC=C9,0
447,CCOC1=CC(=CC=C1C2=NC(C(N2C(=O)N3CCN(CC3)C(=O)CNC(=O)CCC#CC4=CC=CC5=C4CN(C6CCC(=O)NC6=O)C5=O)C7=CC=C(Cl)C=C7)C8=CC=C(Cl)C=C8)C(C)(C)C,0
711,CC1=C(C=CC=C1COC2=CC(=C(CN3CCCCC3C(=O)NCCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C2Cl)OCC7=CC=CC(=C7)C#N)C8=CC=CC=C8,0
1099,COC1=CC2=C(C=C1OCCCOCCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)N=CC=C2OC6=CC=C(C=C6F)N(C(=O)C7(CC7)C(N)=O)C8=CC=C(F)C=C8,1
215,CC/C(C1=CC=CC=C1)=C(C2=CC=C(O)C=C2)/C3=CC=C(OCCN(C)C(=O)CCNC(=O)CCNC(=O)[C@H](CC(C)C)NC(=O)[C@@H](O)[C@H](N)CC4=CC=CC=C4)C=C3,1
1146,CN[C@@H](C)C(=O)N[C@@H](C1CCCCC1)C(=O)N2C[C@H](C[C@H]2C(=O)N[C@@H]3CCCC4=CC=CC=C34)NC(=O)COCCOCCOCCOCCOCCOCCOC5=C(F)C(=CC(=C5)F)CNC6=NC(=NC=C6Cl)NC7=C[N](C)N=C7,0
27,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)CC6CCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
1191,BrC1=CC=C(SC2=CC=C3C(=O)N(CCNC(=O)CCCCC(=O)NCCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(=O)C7=CC=CC2=C37)C=C1,1
409,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCCCOCCCCOCCCCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,1
583,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCCCCCCCN2CCN(CC2)CC(=O)NC3=C(Cl)C(=CC=C3)SC4=NC=C(N=C4N)N5CCC(C)(N)CC5)C(C)(C)C)C6=CC=C(C=C6)C7=C(C)N=CS7,1
1196,C[N]1N=C(C)C(=C1COC2=CC=C(C=C2)N3CCN(CC3)C(=O)CCNC(=O)CCCOCCOCCOCCCNC(=O)COC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C7=CC=CC8=C7[N](CCN9CCOCC9)C(=C8CCCOC%10=CC=CC%11=C%10C=CC=C%11)C(O)=O,1
514,CN(CC[C@@H](CSC1=CC=CC=C1)NC2=CC=C(C=C2[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C3=CC=C(C=C3)N4CCN(CC4)CC5=C(CCC(C)(C)C5)C6=CC=C(Cl)C=C6)C(=O)CCC[N]7C=C(COCCOCCNC8=CC=CC9=C8C(=O)N(C%10CCC(=O)NC%10=O)C9=O)N=N7,1
513,CC1(C)CCC(=C(CN2CCN(CC2)C3=CC=C(C=C3)C(=O)N[S](=O)(=O)C4=CC=C(N[C@@H](CCN5CCN(CCOCCOCCOCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)CC5)CSC9=CC=CC=C9)C(=C4)[S](=O)(=O)C(F)(F)F)C1)C%10=CC=C(Cl)C=C%10,1
1137,CN(C)C1CCN(CC1)C2=CC=C(NC3=CC4=C(C=N3)N=C(NC5=CC=C(F)C=C5)N=C4N6CCN(CCCCCCCC(=O)NC7=CC=CC8=C7CN(C9CCC(=O)NC9=O)C8=O)CC6)N=C2,1
567,CC1=CC=C(C=C1)[N]2N=C3C(=O)N(CCCC(=O)NCCCCCCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)N=C(C)C3=C2C,1
354,ClC1=CC=CC(=C1)NC2=C3C=CN=CC3=C4C=CC(=CC4=N2)C(=O)OCCCCCC5=C[N](CC(=O)NC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
1083,CC(C)C1=NC=CC(=C1N2C(=O)N=C(N3CCN(C[C@H]3C)C(=O)\C=C/COCCOCCOCCOCCOCCOC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C7=C2N=C(C(=C7)F)C8=C(O)C=CC=C8F)C,0
1124,O=C1CCC(N2C(=O)C3=C(C2=O)C(=CC=C3)NCCOCCC(=O)N4CCN(CC4)C5=CC=C(C=C5)C6=CC=C7CN(C(C(=O)NC8=NC=CS8)C9=CC=CC=C9)C(=O)C7=C6)C(=O)N1,0
256,COC1=CC(=CC=C1OCC2=CC=C(C=C2C(F)(F)F)C(F)(F)F)\C=C(/C#N)C(=O)NCCCCNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O,0
291,O=C(CCC(=O)N1CCN(CC1)CC2=CC=C(NC(=O)C3=N[NH]C=C3NC4=C5C=C[NH]C5=NC=N4)C=C2)NCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O,1
25,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCCN(CCOC2=CC=C(C=C2)C(=O)C3=C(SC4=CC(=CC=C34)O)C5=CC=C(O)C=C5)C6CCCC6)C(C)(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8,1
336,CC1=C(C)C2=C(S1)[N]3C(=NN=C3[C@@H](CC(=O)NCCNC(=O)COC4=CC=C(C=C4)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)N=C2C8=CC=C(Cl)C=C8)C,1
522,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,1
47,CCN(CCCCC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)N[C@@H](C)C2=CC=C(C=C2)C3=C(C)N=CS3)C(C)(C)C)CCOC4=CC=C(C=C4)C(=O)C5=C(SC6=CC(=CC=C56)O)C7=CC=C(O)C=C7,0
318,CN1C(=O)N(CC2=C[N](COCC(=O)NC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)N=N2)C(C6=CC=CC=C6)C7=CC(=CC=C17)C8=C(C)ON=C8C,1
106,CC(=O)C1=C(C)C2=C(N=C(NC3=CC=C(C=N3)N4CCN(CCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)CC4)N=C2)N(C8CCCC8)C1=O,1
1040,COC1=CC(=CC=C1NC2=NC=C(Cl)C(=N2)NC3=CC=CC=C3[P](C)(C)=O)N4CCC(CC4)NC(=O)CCCCCCC(=O)N[C@H](C(=O)N5C[C@H](O)C[C@H]5C(=O)NCC6=CC=C(C=C6)C7=C(C)N=CS7)C(C)(C)C,1
55,CCC(C)(C)C(=O)C(=O)N1CCCC[C@H]1C(=O)O[C@H](CCC2=CC=C(OC)C(=C2)OC)C3=CC=CC(=C3)OCC(=O)NCCCCNC(=O)COC4=C(OC)C=C(C=C4OC)N=NC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O,0
554,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C[N]4C(=N3)SC5=CC(=CC=C45)OCCN6CCN(CC6)C(=O)CCC(=O)NCCCOCCOCCOCCCNC(=O)COC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O,0
213,CC(C)C[C@H](NC(=O)CCCC1=CC=CC=C1)C(=O)NCCOCCOCCNC(=O)CO\N=C\2CCC(C)(C)C(=C2C)\C=C\C(C)=C\C=C\C(C)=C\C(O)=O,0
120,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(C=N3)N4CCN(CC4)CC(=O)NCCOCCOCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=C2N(C8CCCC8)C1=O,1
597,COC1=CC2=C(C=C1OCCCOCCCOCCC(=O)NCCOC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)N=CC=C2OC6=CC=C(NC(=O)C7(CC7)C(=O)NC8=CC=C(F)C=C8)C=C6F,1
575,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCCCCCCCNC(=O)CC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
552,COC1=CC2=NC=NC(=C2C=C1OCCCCCOCCOCCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)NC6=CC=C(F)C(=C6)Cl,1
72,CC(C)C1=C(C(=O)NC2=CC=CC=C2)C(=C([N]1CC[C@@H](O)C[C@@H](O)CC(O)=O)C3=CC=C(F)C=C3)C4=CC=CC(=C4)OCCCCCCCC5=C[N](CCCCCCCNC6=CC=CC7=C6C(=O)N(C8CCC(=O)NC8=O)C7=O)N=N5,1
410,CN(CCCNC1=NC(=NC=C1Br)NC2=CC=C(OCCOCCOCCOCCOCCOCC(=O)N[C@H](C(=O)N3C[C@H](O)C[C@H]3C(=O)NCC4=CC=C(C=C4)C5=C(C)N=CS5)C(C)(C)C)C=C2)C(=O)C6CCC6,1
1009,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)COCCOCCOCC(=O)NCCNC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C(C)(C)C)C=C2,0
1119,OCC1CCN(CC1)C2=NC(=NC3=C2C=C(NC4=CC=C(C=N4)N5CCN(CCCCCCC(=O)NC6=CC=CC7=C6CN(C8CCC(=O)NC8=O)C7=O)CC5)N=C3)NC9=CC=C(F)C=C9,1
535,CN[C@@H](C)C(=O)N[C@H](C1CCCCC1)C(=O)N2CCC[C@H]2C3=NC(=CS3)C(=O)C4=CC(=CC=C4)OCCCCCC(=O)N5CCN(CC[C@H](CSC6=CC=CC=C6)NC7=CC=C(C=C7[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C8=CC=C(C=C8)N9CCN(CC9)CC%10=C(CCC(C)(C)C%10)C%11=CC=C(Cl)C=C%11)CC5,0
989,O\N=C(/NC1=CC=C(F)C(=C1)Br)C2=NON=C2NCCNCCOCCOCCOCC(=O)NC3=CC=CC4=C3CN(C5CCC(=O)NC5=O)C4=O,0
991,O\N=C(/NC1=CC=C(F)C(=C1)Br)C2=NON=C2NCCNCCOCCOCCOCC(=O)NC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O,0
836,CC(C)C(C(=O)N1C[C@H](O)CC1C(=O)NC(CC(=O)N2CCC(CC2)N3CCC(CC3)C#CC4=CC=C(C=C4)C(=O)NC5C(C)(C)C(OC6=CC=C(C#N)C(=C6)Cl)C5(C)C)C7=CC=C(C=C7)C8=C(C)N=CS8)C9=CC(=NO9)C,1
1027,CN1CC(CC(C1)C2=CC=C(C=C2)C(=O)N(C)CCCN(C)C3=CC=C(CCCOC4=CC=CC5=C4C(=O)N(C6CCC(=O)NC6=O)C5=O)C=C3)NC7=C(Br)C(=O)N(C)N=C7,1
596,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@H](NC(=O)CCCCCCCCCCNC(=O)CC(=O)NC2=C(Cl)C(=CC=C2)SC3=NC=C(N=C3N)N4CCC(C)(N)CC4)C(C)(C)C)C5=CC=C(C=C5)C6=C(C)N=CS6,1
1053,NC(=O)CC[C@H](NC(=O)[C@@H]1CC[C@@H]2CCN(C[C@H](NC(=O)C3=CC4=CC(=CC=C4[NH]3)C(F)(F)[P](O)(O)=O)C(=O)N12)C(=O)CCCCCCCC5=CC=CC6=C5CN(C7CCC(=O)NC7=O)C6=O)C(=O)NC(C8=CC=CC=C8)C9=CC=CC=C9,1
533,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)CCCCCCC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,1
325,CC1=C(C)C2=C(S1)[N]3C(=NN=C3[C@H](CC(=O)NCCOCCOCC(=O)N[C@H](C(=O)N4C[C@H](O)C[C@H]4C(=O)NCC5=CC=C(C=C5)C6=C(C)N=CS6)C(C)(C)C)N=C2C7=CC=C(Cl)C=C7)C,1
759,CC(C)[N]1C(=NC2=C1C=C(C=C2F)C3=NC(=NC=C3F)NC4=CC=C(CN5CCN(CC5)C6=C[N](CCOCCNC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O)N=N6)C=N4)C,1
987,ONC(=O)CCCCCCC(=O)N\N=C\C1=CC=C(OCCOCCOCC[N]2C=C(CNC3=CC=CC4=C3C(=O)N(C5CCC(=O)NC5=O)C4=O)N=N2)C=C1,1
316,CN1C(=O)N(CC2=C[N](COCC(=O)NC3=CC=CC4=C3CN(C5CCC(=O)NC5=O)C4=O)N=N2)C(C6=CC=CC=C6)C7=CC(=CC=C17)C8=C(C)ON=C8C,1
842,CC1=C(SC=N1)C2=CC=C(CNC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC(=O)CCCNC(=O)C4=CC=C(C=C4F)N5C(=S)N(C(=O)C5(C)C)C6=CC=C(C#N)C(=C6)C(F)(F)F)C(C)(C)C)C=C2,1
885,CN(C1=NC=CC=C1CNC2=NC(=NC=C2C(F)(F)F)NC3=CC=C(NC(=O)C4=C[N](CCOCCOCC#CC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=N4)C=C3)[S](C)(=O)=O,1
560,CC(C)(C)C1=CC(=NO1)NC(=O)NC2=CC=C(C=C2)C3=C[N]4C(=N3)SC5=CC(=CC=C45)OCCN6CCN(CCOCCOCCNC(=O)CNC7=CC=CC8=C7C(=O)N(C9CCC(=O)NC9=O)C8=O)CC6,1
741,CC(=O)C1=C(C)C2=CN=C(NC3=CC=C(C=N3)N4CCN(CC4)CC(=O)NCCCCCCNC5=CC=CC6=C5C(=O)N(C7CCC(=O)NC7=O)C6=O)N=C2N(C8CCCC8)C1=O,1
1135,OCC1CCN(CC1)C2=NC(=NC3=C2C=C(NC4=CC=C(C=N4)N5CCN(CC5)CC6=C[N](CCCCCCCC(=O)NC7=CC=CC8=C7CN(C9CCC(=O)NC9=O)C8=O)N=N6)N=C3)NC%10=CC=C(F)C=C%10,1
482,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](NC(=O)COCCCOCC(=O)N2CCN(CC[C@H](CSC3=CC=CC=C3)NC4=CC=C(C=C4[S](=O)(=O)C(F)(F)F)[S](=O)(=O)NC(=O)C5=CC=C(C=C5)N6CCN(CC6)CC7=C(CCC(C)(C)C7)C8=CC=C(Cl)C=C8)CC2)C(C)(C)C)C9=CC=C(C=C9)C%10=C(C)N=CS%10,1
